Ref,Val,Package,PosX,PosY,Rot,Side
"C5","1uF","C_0805_2012Metric",201.012913,-13.237087,45.000000,bottom
"C6","1uF","C_0805_2012Metric",211.237087,-26.362913,45.000000,bottom
"C7","1uF","C_0805_2012Metric",217.287087,-20.112913,225.000000,bottom
"C8","1uF","C_0805_2012Metric",211.412913,-8.662913,135.000000,bottom
"C9","22pF","C_0805_2012Metric",202.400000,-5.562500,270.000000,bottom
"C10","22pF","C_0805_2012Metric",195.950000,-5.587500,90.000000,bottom
"C11","1uF","C_0805_2012Metric",202.537087,-23.762913,225.000000,bottom
"D1","SOD-123","D_SOD-123",157.162500,11.050000,270.000000,bottom
"D2","SOD-123","D_SOD-123",236.537500,49.150000,270.000000,bottom
"D3","SOD-123","D_SOD-123",255.587500,49.150000,270.000000,bottom
"D4","SOD-123","D_SOD-123",274.637500,49.150000,270.000000,bottom
"D5","SOD-123","D_SOD-123",293.687500,49.150000,270.000000,bottom
"D6","SOD-123","D_SOD-123",-57.150000,30.100000,270.000000,bottom
"D7","SOD-123","D_SOD-123",-38.100000,30.100000,270.000000,bottom
"D8","SOD-123","D_SOD-123",-19.050000,30.100000,270.000000,bottom
"D9","SOD-123","D_SOD-123",0.000000,30.100000,270.000000,bottom
"D10","SOD-123","D_SOD-123",19.050000,30.100000,270.000000,bottom
"D11","SOD-123","D_SOD-123",38.100000,30.100000,270.000000,bottom
"D12","SOD-123","D_SOD-123",57.150000,30.100000,270.000000,bottom
"D13","SOD-123","D_SOD-123",76.200000,30.100000,270.000000,bottom
"D14","SOD-123","D_SOD-123",94.456250,30.100000,270.000000,bottom
"D15","SOD-123","D_SOD-123",114.300000,30.100000,270.000000,bottom
"D16","SOD-123","D_SOD-123",133.350000,30.100000,270.000000,bottom
"D17","SOD-123","D_SOD-123",152.400000,30.100000,270.000000,bottom
"D18","SOD-123","D_SOD-123",200.025000,30.100000,270.000000,bottom
"D19","SOD-123","D_SOD-123",236.537500,30.100000,270.000000,bottom
"D20","SOD-123","D_SOD-123",255.587500,30.100000,270.000000,bottom
"D21","SOD-123","D_SOD-123",274.637500,30.100000,270.000000,bottom
"D22","SOD-123","D_SOD-123",293.687500,30.100000,270.000000,bottom
"D23","SOD-123","D_SOD-123",-52.387500,11.050000,270.000000,bottom
"D24","SOD-123","D_SOD-123",-33.337500,11.050000,270.000000,bottom
"D25","SOD-123","D_SOD-123",-14.287500,11.050000,270.000000,bottom
"D26","SOD-123","D_SOD-123",4.762500,11.050000,270.000000,bottom
"D27","SOD-123","D_SOD-123",23.812500,11.050000,270.000000,bottom
"D28","SOD-123","D_SOD-123",42.862500,11.050000,270.000000,bottom
"D29","SOD-123","D_SOD-123",61.912500,11.050000,270.000000,bottom
"D30","SOD-123","D_SOD-123",80.962500,11.050000,270.000000,bottom
"D31","SOD-123","D_SOD-123",100.012500,11.050000,270.000000,bottom
"D32","SOD-123","D_SOD-123",119.062500,11.050000,270.000000,bottom
"D33","SOD-123","D_SOD-123",138.112500,11.050000,270.000000,bottom
"D34","SOD-123","D_SOD-123",200.025000,11.050000,270.000000,bottom
"D35","SOD-123","D_SOD-123",236.537500,11.050000,270.000000,bottom
"D36","SOD-123","D_SOD-123",255.587500,11.050000,270.000000,bottom
"D37","SOD-123","D_SOD-123",274.637500,11.050000,270.000000,bottom
"D38","SOD-123","D_SOD-123",-57.943750,-7.875000,270.000000,bottom
"D39","SOD-123","D_SOD-123",-23.812500,-8.000000,270.000000,bottom
"D40","SOD-123","D_SOD-123",-4.762500,-8.000000,270.000000,bottom
"D41","SOD-123","D_SOD-123",14.287500,-8.000000,270.000000,bottom
"D42","SOD-123","D_SOD-123",33.337500,-8.000000,270.000000,bottom
"D43","SOD-123","D_SOD-123",52.387500,-8.000000,270.000000,bottom
"D44","SOD-123","D_SOD-123",71.437500,-8.000000,270.000000,bottom
"D45","SOD-123","D_SOD-123",90.487500,-8.000000,270.000000,bottom
"D46","SOD-123","D_SOD-123",109.537500,-8.000000,270.000000,bottom
"D47","SOD-123","D_SOD-123",128.587500,-8.000000,270.000000,bottom
"D48","SOD-123","D_SOD-123",147.650000,-8.000000,270.000000,bottom
"D49","SOD-123","D_SOD-123",171.450000,30.100000,270.000000,bottom
"D50","SOD-123","D_SOD-123",180.975000,-8.000000,270.000000,bottom
"D51","SOD-123","D_SOD-123",236.537500,-8.000000,270.000000,bottom
"D52","SOD-123","D_SOD-123",255.587500,-8.000000,270.000000,bottom
"D53","SOD-123","D_SOD-123",274.637500,-8.000000,270.000000,bottom
"D54","SOD-123","D_SOD-123",293.687500,-8.000000,270.000000,bottom
"D55","SOD-123","D_SOD-123",-61.912500,-27.050000,270.000000,bottom
"D56","SOD-123","D_SOD-123",-38.100000,-27.050000,270.000000,bottom
"D57","SOD-123","D_SOD-123",-14.287500,-27.050000,270.000000,bottom
"D58","SOD-123","D_SOD-123",61.800000,-27.050000,270.000000,bottom
"D59","SOD-123","D_SOD-123",128.587500,-27.050000,270.000000,bottom
"D60","SOD-123","D_SOD-123",152.400000,-27.050000,270.000000,bottom
"D61","SOD-123","D_SOD-123",176.212500,-27.050000,270.000000,bottom
"D62","SOD-123","D_SOD-123",242.093750,-26.925000,270.000000,bottom
"D63","SOD-123","D_SOD-123",255.587500,-27.050000,270.000000,bottom
"D64","SOD-123","D_SOD-123",200.000000,-31.150000,270.000000,bottom
"D65","SOD-123","D_SOD-123",-93.200000,-23.550000,90.000000,bottom
"D66","SOD-123","D_SOD-123",-90.487500,30.162500,270.000000,bottom
"D67","SOD-123","D_SOD-123",-90.487500,11.050000,270.000000,bottom
"D68","SOD-123","D_SOD-123",-90.487500,-8.000000,270.000000,bottom
"D69","SOD-123","D_SOD-123",-66.675000,49.150000,270.000000,bottom
"D70","SOD-123","D_SOD-123",-47.625000,49.150000,270.000000,bottom
"D71","SOD-123","D_SOD-123",-28.575000,49.150000,270.000000,bottom
"D72","SOD-123","D_SOD-123",-9.525000,49.150000,270.000000,bottom
"D73","SOD-123","D_SOD-123",9.525000,49.150000,270.000000,bottom
"D74","SOD-123","D_SOD-123",28.575000,49.150000,270.000000,bottom
"D75","SOD-123","D_SOD-123",47.625000,49.150000,270.000000,bottom
"D76","SOD-123","D_SOD-123",66.675000,49.150000,270.000000,bottom
"D77","SOD-123","D_SOD-123",85.725000,49.150000,270.000000,bottom
"D78","SOD-123","D_SOD-123",104.775000,49.150000,270.000000,bottom
"D79","SOD-123","D_SOD-123",123.825000,49.150000,270.000000,bottom
"D80","SOD-123","D_SOD-123",142.875000,49.150000,270.000000,bottom
"D81","SOD-123","D_SOD-123",161.925000,49.150000,270.000000,bottom
"D82","SOD-123","D_SOD-123",180.975000,49.150000,270.000000,bottom
"D83","SOD-123","D_SOD-123",200.025000,49.150000,270.000000,bottom
"D84","SOD-123","D_SOD-123",186.150000,-4.650000,90.000000,bottom
"D85","SOD-123","D_SOD-123",-46.037500,-7.937500,270.000000,bottom
"D86","SOD-123","D_SOD-123",173.831250,11.050000,270.000000,bottom
"D87","SOD-123","D_SOD-123",293.687500,14.350000,90.000000,bottom
"D88","SOD-123","D_SOD-123",277.812500,-4.700000,90.000000,bottom
"D89","SOD-123","D_SOD-123",-90.487500,-27.050000,270.000000,bottom
"D90","SOD-123","D_SOD-123",274.637500,-27.050000,270.000000,bottom
"J1","Conn_01x04_Female","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",209.900000,40.200000,0.000000,bottom
"R4","10K","R_0805_2012Metric",198.150000,-18.662500,90.000000,bottom
"R5","10K","R_0805_2012Metric",218.212913,-14.487087,225.000000,bottom
"SW1","SW_Push","SKQG-1155865",192.500000,-21.600000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",208.756250,-17.462500,45.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",199.200000,-5.600000,180.000000,bottom
